iter	RMSE
0	72991.93115
1	67961.82238
2	63018.33781
3	58097.97538
4	53803.79194
5	50013.69908
6	46624.75497
7	43615.84772
8	40770.71621
9	37895.01991
10	35635.95557
11	33183.36822
12	30940.08328
13	29414.38605
14	27738.3333
15	25898.1502
16	24435.40112
17	23444.41625
18	22158.13699
19	20805.32776
20	19756.73831
21	18731.90461
22	17862.41628
23	16786.29449
24	16251.03344
25	15361.44034
26	14582.13287
27	14021.25639
28	13485.31867
29	12976.87782
30	12355.37289
31	11777.93027
32	11395.70879
33	10850.96973
34	10401.47878
35	10040.32399
36	9854.698204
37	9529.566295
38	9248.915937
39	8882.54382
40	8585.170262
41	8280.91425
42	7997.807417
43	7760.570255
44	7574.305845
45	7416.396055
46	7244.050776
47	7093.598365
48	6888.916174
49	6811.234979
50	6683.270217
51	6562.734903
52	6490.933955
53	6357.959684
54	6288.331538
55	6173.207336
56	6034.375327
57	5943.41633
58	5835.833071
59	5748.049778
60	5678.023176
61	5583.065609
62	5506.159166
63	5422.072759
64	5364.9907
65	5322.182341
66	5249.933331
67	5192.219676
68	5118.246613
69	5064.71538
70	4992.812116
71	4958.26683
72	4918.758557
73	4878.691861
74	4817.863297
75	4788.833406
76	4760.239758
77	4723.152765
78	4665.518017
79	4618.143211
80	4564.090691
81	4528.055292
82	4479.404469
83	4457.02782
84	4426.981281
85	4389.511846
86	4345.111336
87	4322.065848
88	4287.631226
89	4243.834287
90	4209.562961
91	4183.985043
92	4165.956185
93	4121.977922
94	4104.272565
95	4079.472653
96	4055.470199
97	4040.192828
98	4027.323755
99	3997.528146
