iter	Passed	Remaining
0	3	347
1	3	194
2	4	142
3	4	114
4	5	96
5	5	84
6	5	77
7	6	70
8	6	64
9	6	59
10	6	55
11	7	52
12	7	49
13	7	47
14	7	44
15	8	42
16	8	41
17	9	43
18	9	41
19	10	40
20	10	38
21	10	37
22	10	36
23	11	35
24	11	34
25	11	33
26	11	32
27	12	31
28	12	30
29	12	29
30	12	28
31	13	28
32	13	27
33	13	26
34	14	26
35	14	25
36	14	24
37	14	24
38	15	23
39	15	23
40	15	22
41	16	22
42	16	21
43	16	21
44	16	20
45	17	20
46	18	20
47	18	19
48	18	19
49	18	18
50	19	18
51	19	17
52	19	17
53	19	16
54	20	16
55	20	15
56	20	15
57	20	15
58	21	14
59	21	14
60	21	13
61	21	13
62	22	13
63	22	12
64	22	12
65	22	11
66	23	11
67	23	11
68	23	10
69	23	10
70	24	9
71	24	9
72	24	9
73	24	8
74	25	8
75	26	8
76	26	7
77	26	7
78	26	7
79	27	6
80	27	6
81	27	6
82	28	5
83	28	5
84	28	5
85	28	4
86	29	4
87	29	4
88	29	3
89	29	3
90	30	2
91	30	2
92	30	2
93	30	1
94	31	1
95	31	1
96	31	0
97	31	0
98	32	0
99	32	0
