iter	MultiClass
0	1.747920094
1	1.694355349
2	1.643370494
3	1.597735531
4	1.556891331
5	1.525931893
6	1.489208872
7	1.461614605
8	1.429222302
9	1.397650393
10	1.373221358
11	1.346156657
12	1.320224636
13	1.294235694
14	1.275961367
15	1.255005194
16	1.23261974
17	1.214408554
18	1.193926896
19	1.177265398
20	1.159755394
21	1.146904416
22	1.130077768
23	1.117141547
24	1.100217202
25	1.084114291
26	1.071778937
27	1.058589369
28	1.043620271
29	1.029982072
30	1.015112571
31	1.002063689
32	0.9923507362
33	0.9776899307
34	0.9671247769
35	0.9576838105
36	0.9467780479
37	0.9371413548
38	0.9274404869
39	0.9190652957
40	0.9103213862
41	0.8970713627
42	0.888475862
43	0.877110573
44	0.8689745981
45	0.8589693002
46	0.8506496119
47	0.8428452759
48	0.8342689988
49	0.8248493271
50	0.8165502981
51	0.8073870749
52	0.800203975
53	0.7930112896
54	0.7848937524
55	0.7765813522
56	0.7714493926
57	0.7660928366
58	0.7604469554
59	0.7530518502
60	0.7464581589
61	0.7406722855
62	0.7334216993
63	0.7261799062
64	0.7201210419
65	0.7143591544
66	0.707831845
67	0.7027579104
68	0.6985198299
69	0.6921680663
70	0.6852418225
71	0.6798029045
72	0.6732183316
73	0.6689279313
74	0.6651233865
75	0.6606479041
76	0.6574564515
77	0.6528705603
78	0.6487390866
79	0.6429644095
80	0.6375421045
81	0.6337668628
82	0.6293671543
83	0.6261636584
84	0.6213312541
85	0.6174929666
86	0.6135975279
87	0.609941202
88	0.6061316311
89	0.6022378264
90	0.5993801877
91	0.5956828177
92	0.5909861745
93	0.5877970695
94	0.5850046388
95	0.5796727169
96	0.5756788738
97	0.5727402921
98	0.5700412075
99	0.5669616122
100	0.5634702509
101	0.5601658983
102	0.5568843586
103	0.5532265611
104	0.548516048
105	0.545121344
106	0.5423044213
107	0.5384376363
108	0.535366363
109	0.5317715652
110	0.5278808604
111	0.5236125015
112	0.521325804
113	0.5193591022
114	0.5172374295
115	0.5124151734
116	0.508774419
117	0.5040118616
118	0.502042665
119	0.4981335319
120	0.4944427355
121	0.490870017
122	0.4880087153
123	0.4842936608
124	0.481288841
125	0.4783899249
126	0.4749354029
127	0.4727858133
128	0.469108412
129	0.4659174435
130	0.4621090734
131	0.458988342
132	0.4560293229
133	0.4535139764
134	0.4515391109
135	0.4486177519
136	0.4457335765
137	0.4416040653
138	0.4403194953
139	0.4371229681
140	0.4344898884
141	0.4307124569
142	0.4281046267
143	0.4252194445
144	0.4230957832
145	0.4206435227
146	0.4177085133
147	0.4158756723
148	0.4128131055
149	0.4099342139
150	0.4077669652
151	0.4054711321
152	0.4030270839
153	0.401327808
154	0.3994631632
155	0.3971519573
156	0.3953977898
157	0.3944434099
158	0.3926679841
159	0.3903875645
160	0.3882242702
161	0.3861158822
162	0.3824754968
163	0.3802114879
164	0.377909449
165	0.3755084294
166	0.373351334
167	0.3698808927
168	0.3677021288
169	0.3648586359
170	0.362787266
171	0.3609051221
172	0.3597169083
173	0.3584283962
174	0.356146677
175	0.354216712
176	0.3520551787
177	0.3494192575
178	0.3478062589
179	0.345618898
180	0.345000342
181	0.3438052291
182	0.3414795723
183	0.3396300597
184	0.3376573622
185	0.3358237554
186	0.3328674294
187	0.3311861139
188	0.328929326
189	0.3269311526
190	0.325458603
191	0.3239447115
192	0.3229394097
193	0.3212781576
194	0.3193927286
195	0.3176101401
196	0.3157989776
197	0.3140386508
198	0.31281761
199	0.3114714295
200	0.3100103936
201	0.3077543857
202	0.3049874475
203	0.3029239681
204	0.3015089115
205	0.3001331995
206	0.2988593811
207	0.2976257895
208	0.2955174232
209	0.2936865405
210	0.2925233689
211	0.2908987903
212	0.2900763584
213	0.2888467674
214	0.2872732671
215	0.2857943867
216	0.2849932686
217	0.2832362892
218	0.2823795124
219	0.2814978245
220	0.2796546443
221	0.278508111
222	0.2781220224
223	0.2764714517
224	0.2747693094
225	0.2740388184
226	0.2731786476
227	0.2720436617
228	0.2710147543
229	0.2698411514
230	0.2683598956
231	0.2670124754
232	0.265837337
233	0.2647669552
234	0.2639147724
235	0.2627868017
236	0.2609702994
237	0.259389587
238	0.2583243704
239	0.2572729859
240	0.2558693714
241	0.2552526461
242	0.253712591
243	0.2518676575
244	0.2508725844
245	0.249751375
246	0.2487594662
247	0.2474684346
248	0.2460724924
249	0.2452241478
250	0.2441034147
251	0.2431036959
252	0.2422448963
253	0.2412037081
254	0.2403731079
255	0.2395442974
256	0.2384531383
257	0.2375336342
258	0.2364717886
259	0.2350894348
260	0.2341274889
261	0.2330549613
