iter	Passed	Remaining
0	1	1720
1	3	1560
2	4	1645
3	6	1638
4	7	1469
5	8	1378
6	9	1314
7	10	1251
8	10	1185
9	11	1129
10	12	1079
11	12	1034
12	13	991
13	13	966
14	14	947
15	14	922
16	15	897
17	16	877
18	16	865
19	17	847
20	17	827
21	18	810
22	18	797
23	19	785
24	19	770
25	20	763
26	20	752
27	21	743
28	21	732
29	22	722
30	22	711
31	23	701
32	23	694
33	24	685
34	24	679
35	25	671
36	25	664
37	26	658
38	26	653
39	26	646
40	27	640
41	27	636
42	28	632
43	28	625
44	29	620
45	29	615
46	30	609
47	30	604
48	30	599
49	31	596
50	31	591
51	32	586
52	32	582
53	33	578
54	33	574
55	33	571
56	34	567
57	34	564
58	35	561
59	35	557
60	36	554
61	36	550
62	36	547
63	37	543
64	37	540
65	38	537
66	38	534
67	38	531
68	39	529
69	39	526
70	40	523
71	40	520
72	40	518
73	41	515
74	41	512
75	41	509
76	42	507
77	42	504
78	43	502
79	43	499
80	43	497
81	44	497
82	45	499
83	45	498
84	46	498
85	46	496
86	47	494
87	47	491
88	47	489
89	48	488
90	48	486
91	49	484
92	49	482
93	49	480
94	50	478
95	50	477
96	51	475
97	51	474
98	52	473
99	52	472
100	52	470
101	53	468
102	53	466
103	53	465
104	54	463
105	54	461
106	55	459
107	55	457
108	55	456
109	56	454
110	56	452
111	56	450
112	57	449
113	57	447
114	57	446
115	58	444
116	58	442
117	59	441
118	59	439
119	59	438
120	60	436
121	60	434
122	60	433
123	61	432
124	61	430
125	61	429
126	62	428
127	62	427
128	63	425
129	63	424
130	63	423
131	64	421
132	64	420
133	64	419
134	65	417
135	65	416
136	66	415
137	66	414
138	66	412
139	67	411
140	67	410
141	67	409
142	68	407
143	68	406
144	68	405
145	69	404
146	69	403
147	69	402
148	70	401
149	70	400
150	71	400
151	71	399
152	71	397
153	72	396
154	72	395
155	72	394
156	73	393
157	73	391
158	73	390
159	74	389
160	74	388
161	74	387
162	75	386
163	75	385
164	76	384
165	76	383
166	76	382
167	77	381
168	77	380
169	77	379
170	78	378
171	78	377
172	78	376
173	79	375
174	79	374
175	79	373
176	80	372
177	80	371
178	80	370
179	81	369
180	81	368
181	81	367
182	82	366
183	82	365
184	82	364
185	83	363
186	83	362
187	83	362
188	84	361
189	84	360
190	84	359
191	85	358
192	85	357
193	85	356
194	86	355
195	86	355
196	86	354
197	87	353
198	87	352
199	88	352
200	88	351
201	88	350
202	89	349
203	89	349
204	89	348
205	90	347
206	90	346
207	90	345
208	91	345
209	91	344
210	91	343
211	92	342
212	92	341
213	92	341
214	93	340
215	93	339
216	93	339
217	94	338
218	94	337
219	95	336
220	95	336
221	95	335
222	96	334
223	96	333
224	96	333
225	97	332
226	97	331
227	97	331
228	98	330
229	98	329
230	98	328
231	99	328
232	99	327
233	99	327
234	100	325
235	100	325
236	100	324
237	101	324
238	101	323
239	101	322
240	102	322
241	102	321
242	102	320
243	103	320
244	103	319
245	103	318
246	104	318
247	104	317
248	105	317
249	105	316
250	105	315
251	106	315
252	106	314
253	106	314
254	107	313
255	107	313
256	108	312
257	108	312
258	108	311
259	109	310
260	109	310
261	109	309
